growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
1.46,1.8706,0.68677,1.507381507,0.751526538,-0.191293558,130,0.734336753,0.051826898,0,17.17692896,-0.429082263,0.499,0.088640064,0.159709052,0.086111877,0.161751041,0.200006897,1,193.05,MLM   ,9/13/2018 11:51,9/13/2018 11:59,194.03
0.61,3.2224,0.2059,0.607804642,1.360266056,-0.045698925,31,0.554128936,0.037665797,0.061964546,31.38985452,-0.218282292,0.818,-0.021781747,0.631492694,0.130890052,0.116959064,0.244836029,-1,371.83,NFLX  ,9/13/2018 12:58,9/13/2018 13:18,369.33
1.14,3.2386,0.5615,1.714677641,3.404255319,3.404255319,58,1.341638716,0.022867597,0.09163803,25.81708167,0.027801173,0.074,0.050002064,0.35424103,0.165334803,0.082530949,0.279319977,-1,43.74,MU    ,9/13/2018 14:47,9/13/2018 14:54,43.47
0.62,4.6899,0.22209,0.948821162,0.23054755,-0.656955156,22,0.066692073,0.067133404,0.076841802,46.45566139,0.179500627,0.26,-0.034132898,-0.137949008,-0.048100048,0.106558504,0.044705801,1,104.34,LYB   ,9/14/2018 10:01,9/14/2018 10:45,104.9
2.1,9.6375,0.63402,2.098569157,2.979698756,0.063633471,36,3.1167979,0.031806616,0.223285486,38.55085793,-0.196364186,0.17,0.006070345,0.442216593,-0.003435718,0.061845044,0.182431502,1,31.45,AMD   ,9/14/2018 11:00,9/14/2018 11:08,31.65
0.73,9.7724,0.68319,2.033682873,3.04518664,0.127266942,12,3.1167979,0.031786395,0.255102041,42.00617409,-0.048453332,0.148,-0.010536177,0.43360951,-0.010307153,0.068721438,0.175547295,1,31.47,AMD   ,9/14/2018 11:15,9/14/2018 11:22,31.74
0.64,2.1046,0.27294,0.6442489,0.983814662,0.935765266,50,0.190688066,0.055027121,0.047232937,27.0290515,-0.072425312,0.228,0.027941086,0.48792532,0.037792895,0.020606519,0.223736748,1,127.28,RCL   ,9/14/2018 11:34,9/14/2018 11:45,128.34
0.56,3.6964,0.04698,0.648667602,0.723997881,0.575996238,25,-0.017629429,0.08773469,0.070278184,37.9360726,0.17449351,0.399,0.001373928,0.082405746,0.027485742,0.044652057,0.213410436,-1,171.12,PXD   ,9/14/2018 11:55,9/14/2018 12:22,170.25
0.61,1.5787,0.38394,1.079622132,1.437371663,1.056938288,64,0.376454483,0.033749578,0.033795201,33.64343119,-0.055028909,0.049,0.046719692,-0.241769426,-0.185528757,0.258157786,0.179310345,1,29.64,DISCK ,9/14/2018 13:39,9/14/2018 15:07,29.79
0.68,1.4844,0.27388,0.67624683,0.795228628,0.766609881,76,0.170648464,0.028184893,0.141282848,38.15673849,-0.02449144,0.028,0.046271587,0.53727499,0.552543426,0.00686884,0.559488862,1,35.49,M     ,9/18/2018 11:43,9/18/2018 12:14,35.67
0.54,0.8101,0.29762,1.017488076,2.276422764,0.898299647,111,-2.654590881,0.031806616,0.095602294,29.13839994,-0.007935867,0.041,-0.043718499,0.469217106,0.538729841,0.113351424,0.545674322,-1,31.45,DISCA ,9/18/2018 12:23,9/18/2018 13:25,31.28
0.8,2.5715,0.38211,0.819068655,1.305239605,0.797773655,51,0.167255157,0.055248619,0.018429783,36.726608,-0.086753403,0.193,-0.016245244,0.252038469,0.120287315,0.127008101,0.171927653,1,108.66,HAS   ,9/19/2018 11:26,9/19/2018 13:41,109.21
0.77,1.8799,0.38423,0.770276393,1.939953811,1.939953811,68,0.09246417,0.045330916,0.090826521,36.96970821,-0.039781867,0.069,-0.043921655,0.206494744,0.113413754,0.133882595,0.165050547,1,44.14,BHF   ,9/19/2018 11:41,9/19/2018 13:22,44.38
0.92,1.1741,0.20987,1.735913489,0.228180262,-1.361403509,130,-0.147151566,0.042704626,0.092685014,37.90045102,-0.115263124,0.137,-0.016129752,0.171488146,0.127160876,0.120134551,0.178804759,1,140.56,RHT   ,9/19/2018 12:28,9/19/2018 13:53,141.28
0.69,2.3566,0.38341,0.691056911,0.236329557,-0.13396663,48,0.571591883,0.044735451,0.097791541,30.30451028,-0.010875087,0.326,-0.077385288,0.061685061,-0.139888771,0.184501845,0.030759766,1,246,AVGO  ,9/21/2018 10:24,9/21/2018 11:24,247.41
0.72,1.2816,0.29008,0.884629561,0.258684405,0.055319934,93,0.518999073,0.01843318,0.129342203,32.05899192,-0.068892466,0.076,-0.000797524,0.166717497,-0.177419905,0.222169054,0.058139535,1,54.26,VZ    ,9/21/2018 11:10,9/21/2018 12:12,54.54
1.13,1.104,0.63,1.129755773,0.216450216,0.2665334,170,-0.57966214,0.016616816,0.049858734,20.94784752,0.015237886,0.078,-0.044870933,-0.758154142,-0.180831826,0.22559475,0.054719562,-1,60.19,MNST  ,9/21/2018 12:42,9/21/2018 15:43,59.85
0.88,1.4493,0.54323,0.881654798,0.682826903,0.442779292,101,-0.944669366,0.067865626,0.067957866,27.443363,-0.054487639,0.06,0.003783592,0.134655625,-0.205944944,0.251083442,0.127423632,-1,29.49,MNK   ,9/24/2018 12:51,9/24/2018 13:19,29.32
0.62,1.9897,0.3569,0.61937595,0.670588235,0.670588235,51,0.289068492,0.058465856,0,25.30875286,-0.267270862,0.303,-0.031363248,-0.269676929,-0.140637327,0.18205551,0.0343619,-1,171.14,LH    ,9/25/2018 10:28,9/25/2018 15:05,170.23
0.65,1.9739,0.23242,0.645624103,0.215672178,-0.143266476,54,-0.285714286,0.071787509,0,31.66500324,0.003463999,0.008,-0.028273583,-0.072932558,-0.140637327,0.18205551,0.0343619,1,13.94,NAVI  ,9/25/2018 10:31,9/25/2018 10:51,14.01
1.01,1.5503,0.35086,1.047658176,0.205846027,-0.041067762,108,0.28830313,0.020546538,0.061753808,42.8528357,-0.018185248,0.086,0.030810076,0.014866615,-0.140637327,0.18205551,0.158260511,-1,48.68,MS    ,9/25/2018 11:24,9/25/2018 11:58,48.43
0.53,1.8021,0.28493,0.748155954,0.423280423,-0.157811678,49,0.454449376,0.073816303,0.179685023,26.44914176,-0.061950252,0.122,0.0189937,0.25852445,-0.051452681,0.092662503,0.247712103,-1,94.9,XEC   ,9/25/2018 11:50,9/25/2018 15:48,94.38
0.95,3.4111,0.28388,0.94626563,1.474622771,-0.033783784,46,0.920559154,0.033806626,0.169491525,30.64821852,-0.048381898,0.061,-0.004347239,0.042738694,-0.058313038,0.099533224,0.240831212,1,29.59,MNK   ,9/25/2018 12:05,9/25/2018 12:31,29.74
