growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.68,0.6336,0.33064,1.800124146,0.165803109,-0.759753593,178,0.205761317,0.020695364,0.041450777,28.42569756,-0.062487623,0.07,-0.031765497,0.009903254,0.133191263,0.190653543,0.204371779,0,48.33,TXT   ,12/19/2016 14:58,12/19/2016 15:59,48.35
0.62,3.8896,0.16653,0.623982637,0.600436681,0.518134715,26,0.109200109,0.027137042,0.108784335,43.55976218,0.045768097,0.087,-0.055438862,0.445259536,0.039794836,0.141436464,0.079621356,1,36.86,ATVI  ,12/20/2016 10:05,12/20/2016 10:13,37.09
0.75,7.5911,0.19701,1.030927835,1.233396584,1.041666667,16,1.149425287,0.09380863,0.046948357,47.65490411,0.033177478,0.033,-0.018699102,0.617436626,0.084011319,0.09719461,0.123855443,-1,10.67,ESV   ,12/20/2016 10:17,12/20/2016 10:20,10.59
1.28,4.8855,0.58564,1.320676847,0.706566916,0.622923588,43,0.626828249,0.041288192,0.082712986,30.5581474,-0.073710775,0.077,-0.048599452,-0.05214536,0.030951539,0.150289528,0.070774539,-1,24.23,GPS   ,12/20/2016 10:24,12/20/2016 10:29,24.1
0.6,2.2231,0.17106,0.617283951,1.602787456,1.25,44,0.840336134,0.06863418,0.171939477,43.88110532,-0.020501944,0.023,-0.031451243,-0.137999903,0.019897418,0.16135806,0.059716017,1,14.58,RF    ,12/20/2016 10:34,12/20/2016 10:44,14.655
0.5,1.5974,0.13272,0.585269224,0.917764652,0.716423325,52,0.145309236,0.153305077,0.11732852,41.66972387,0.030338625,0.169,0.019025158,0.139277825,0.11054121,0.070668257,0.150395895,-1,111.06,SLG   ,12/20/2016 11:05,12/20/2016 11:33,110.47
0.5,1.2478,0.34776,1.317501627,0.228236061,-0.934579439,66,-0.433178245,0.016268098,0.048883819,31.08220792,-0.081369954,0.076,-0.019492305,-0.147402638,0.092854616,0.08835093,0.13270226,1,61.48,TSN   ,12/20/2016 11:29,12/20/2016 13:22,61.8
0.62,1.1866,0.15137,0.97060196,0.233863424,-0.961271837,87,1.12160015,0.046685341,0.09354537,39.2774468,-0.035944428,0.061,-0.039294675,-0.463355043,0.070746374,0.110463061,0.110585217,-1,107.15,LRCX  ,12/20/2016 11:31,12/20/2016 14:47,106.59
0.87,1.8598,0.38249,1.122154537,0.840607824,0.096277279,77,0.906735751,0.032071841,0.064246707,34.00410918,-0.015561712,0.026,0.020342821,0.086655961,0.004421648,0.176858116,0.086292731,0,31.19,LM    ,12/20/2016 12:21,12/20/2016 15:59,31.26
0.76,1.8873,0.20927,3.879236195,0.405907246,-3.734371119,67,-1.641079936,0.116254037,0.07326323,32.59498765,-0.804222136,0.683,0.027558237,0.328873193,0.039794836,0.141436464,0.121694878,-1,232.52,AYI   ,12/20/2016 12:50,12/20/2016 13:15,231.17
